game,step,event_type,description,reward,final_reward,winner,ai_left,ai_right,timestamp
1,1,reward_change,Positive reward change: 0 → 1.0,1.0,,,coacAI,droplet,1758300639.6994503
1,2,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300639.7070897
1,10,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300639.8133385
1,11,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300639.814087
1,59,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300640.2532537
1,60,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300640.2538095
1,77,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300640.662296
1,78,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300640.6627584
1,104,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300640.77114
1,105,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300640.7714193
1,126,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300640.877748
1,127,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300640.8780346
1,144,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300641.1824577
1,145,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300641.1828074
1,153,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300641.1850994
1,154,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300641.1853333
1,162,reward_change,Positive reward change: 0.0 → 0.2,0.2,,,coacAI,droplet,1758300641.1881762
1,163,reward_change,Negative reward change: 0.2 → 0.0,0.0,,,coacAI,droplet,1758300641.1885195
1,226,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300641.5096543
1,227,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300641.6092412
1,229,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300641.6098757
1,230,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300641.6101272
1,275,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300641.8224542
1,276,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300641.8226757
1,283,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300642.0246718
1,284,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300642.0250719
1,293,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300642.1280134
1,294,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300642.1283236
1,332,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300642.2365072
1,333,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300642.2367356
1,341,reward_change,Positive reward change: 0.0 → 4.0,4.0,,,coacAI,droplet,1758300642.4382277
1,342,reward_change,Negative reward change: 4.0 → 0.0,0.0,,,coacAI,droplet,1758300642.4385495
1,350,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300642.4403367
1,351,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300642.4405453
1,378,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300642.4462402
1,379,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300642.4464304
1,396,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300642.7491026
1,397,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300642.749298
1,399,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300642.7496865
1,400,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300642.7498744
1,417,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300642.8533707
1,418,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300642.8535566
1,445,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300642.9591994
1,446,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300642.9594498
1,463,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300643.163906
1,464,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300643.164149
1,466,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300643.1645415
1,467,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300643.1647294
1,475,reward_change,Positive reward change: 0.0 → 4.0,4.0,,,coacAI,droplet,1758300643.1665647
1,476,reward_change,Negative reward change: 4.0 → 0.0,0.0,,,coacAI,droplet,1758300643.1667845
1,484,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300643.1686695
1,485,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300643.168885
1,512,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300643.5756192
1,513,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300643.575846
1,530,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300643.6792126
1,531,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300643.7792568
1,533,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300643.7799592
1,534,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300643.7802567
1,551,reward_change,Positive reward change: 0.0 → 2.0,2.0,,,coacAI,droplet,1758300643.7897365
1,552,reward_change,Negative reward change: 2.0 → 0.0,0.0,,,coacAI,droplet,1758300643.7900722
1,556,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300643.7909458
1,557,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300643.791139
1,561,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300643.7919598
1,562,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300643.792161
1,579,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300643.9952898
1,580,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300643.9954822
1,586,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300643.996788
1,587,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300643.9970274
1,590,reward_change,Positive reward change: 0.0 → 10.0,10.0,,,coacAI,droplet,1758300643.9993923
1,590,game_end,Game ended - Winner: left,,10.0,left,coacAI,droplet,1758300643.9994016
2,1,reward_change,Positive reward change: 0 → 1.0,1.0,,,coacAI,droplet,1758300644.1012878
2,2,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300644.1016293
2,10,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300644.2032099
2,11,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300644.303207
2,59,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300644.6122003
2,60,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300644.612463
2,77,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300644.9222734
2,78,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300644.9224854
2,104,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300644.9274254
2,105,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300644.9276054
2,126,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300645.2309299
2,127,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300645.231121
2,144,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300645.33408
2,145,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300645.3343203
2,153,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300645.335835
2,154,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300645.3360505
2,162,reward_change,Positive reward change: 0.0 → 0.2,0.2,,,coacAI,droplet,1758300645.3376846
2,163,reward_change,Negative reward change: 0.2 → 0.0,0.0,,,coacAI,droplet,1758300645.33794
2,226,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300645.7492654
2,227,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300645.7494562
2,229,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300645.74988
2,230,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300645.7500632
2,275,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300646.0625381
2,276,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300646.0629168
2,283,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300646.1636784
2,284,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300646.163922
2,293,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300646.36469
2,294,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300646.3648975
2,332,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300646.4715116
2,333,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300646.4717307
2,341,reward_change,Positive reward change: 0.0 → 4.0,4.0,,,coacAI,droplet,1758300646.5732076
2,342,reward_change,Negative reward change: 4.0 → 0.0,0.0,,,coacAI,droplet,1758300646.57355
2,350,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300646.6778789
2,351,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300646.778229
2,378,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300646.7836447
2,379,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300646.7838752
2,396,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300646.8872392
2,397,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300646.8874278
2,399,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300646.987506
2,400,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300646.9877357
2,417,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300647.090484
2,418,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300647.0906982
2,445,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300647.1960506
2,446,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300647.196237
2,463,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300647.4987214
2,464,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300647.4989154
2,466,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300647.4993749
2,467,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300647.4995613
2,475,reward_change,Positive reward change: 0.0 → 4.0,4.0,,,coacAI,droplet,1758300647.501179
2,476,reward_change,Negative reward change: 4.0 → 0.0,0.0,,,coacAI,droplet,1758300647.5013785
2,484,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300647.503014
2,485,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300647.5032609
2,512,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300647.8094962
2,513,reward_change,Negative reward change: 1.0 → 0.0,0.0,,,coacAI,droplet,1758300647.8096907
2,530,reward_change,Positive reward change: 0.0 → 1.0,1.0,,,coacAI,droplet,1758300647.91301
