timestamp,experiment_name,generations,population_size,games_per_eval,max_steps,ai_agents,best_fitness,best_balance,best_duration,best_diversity,total_time_sec,experiment_dir
20260217_195929,local_two_ai_test,3,4,3,1000000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,121.33,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771351048
20260217_202231,local_two_ai_test,5,6,5,20000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,20.96,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771352530
20260217_202353,local_two_ai_test,5,6,5,20000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,17.86,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771352615
20260217_202651,local_two_ai_test,5,6,5,100000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,103.67,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771352707
20260217_203227,local_two_ai_test,5,6,5,100000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,130.05,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771353017
20260217_203943,local_two_ai_test,5,6,5,100000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,113.05,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771353470
20260217_204955,local_two_ai_test,5,6,5,20000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,27.02,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771354168
20260217_205340,local_two_ai_test,5,6,5,20000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,19.57,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771354400
20260217_205702,local_two_ai_test,5,6,5,20000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,14.83,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771354608
20260217_205950,local_two_ai_test,5,6,5,20000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,19.35,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771354771
20260217_210545,local_two_ai_test,5,6,5,20000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,54.37,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771355091
20260217_211125,local_two_ai_test,5,6,1,20000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,4.15,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771355481
20260217_211700,local_two_ai_test,5,6,1,20000,"lightRushAI,workerRushAI",0.39,0.0,1.0,0.3,9.68,/home/altaaf/projects/MicroRTS-Py-Research/ga_local_test_output/local_two_ai_test_1771355810
