map_path,ordering,game_index,winner_side,winner_ai,raw_reward0,raw_rewards_full,steps
,ordering_1_light_left,0,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,1,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,2,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,3,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,4,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,5,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,6,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,7,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,8,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,9,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,10,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,11,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,12,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,13,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,14,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,15,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,16,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,17,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,18,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,19,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,20,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,21,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,22,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,23,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,24,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
,ordering_1_light_left,25,right,workerRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",432
